,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
189,Georges River,690.0,710.0,216.0,2018-06-30,Greater Sydney,Middle Ring,Other,550.0,68.0,2222.0,Strata
190,Georges River,690.0,710.0,216.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,600.0,71.0,852.0,Strata
191,Georges River,690.0,710.0,216.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,500.0,771.0,8304.0,Strata
192,Hunters Hill,2625.0,3267.0,20.0,2018-06-30,Greater Sydney,Middle Ring,House,975.0,20.0,266.0,Non Strata
193,Hunters Hill,1000.0,1151.0,20.0,2018-06-30,Greater Sydney,Middle Ring,Other,510.0,5.0,70.0,Strata
194,Hunters Hill,1000.0,1151.0,20.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,630.0,5.0,66.0,Strata
195,Hunters Hill,1000.0,1151.0,20.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,550.0,72.0,504.0,Strata
196,Ku-Ring-Gai,2010.0,2289.0,214.0,2018-06-30,Greater Sydney,Middle Ring,House,1000.0,278.0,2475.0,Non Strata
197,Ku-Ring-Gai,970.0,1075.0,160.0,2018-06-30,Greater Sydney,Middle Ring,Other,670.0,20.0,573.0,Strata
198,Ku-Ring-Gai,970.0,1075.0,160.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,830.0,20.0,206.0,Strata
199,Ku-Ring-Gai,970.0,1075.0,160.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,600.0,501.0,3791.0,Strata
200,Parramatta,1230.0,1240.0,279.0,2018-06-30,Greater Sydney,Middle Ring,House,580.0,500.0,4903.0,Non Strata
201,Parramatta,680.0,683.0,532.0,2018-06-30,Greater Sydney,Middle Ring,Other,450.0,204.0,3638.0,Strata
202,Parramatta,680.0,683.0,532.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,560.0,234.0,2556.0,Strata
